,experiment,metric,page,corr,corr_type
0,interferer,APS,vocals-10-SIR,-0.9210455650948818,pearson
1,interferer,APS,vocals-11-SAR,-0.7403048020541293,pearson
2,interferer,APS,vocals-12-SAR,-0.5647999640835589,pearson
3,interferer,APS,vocals-18-SIR,-0.8046797921641372,pearson
4,interferer,APS,vocals-19-SIR,-0.820955947920849,pearson
5,interferer,APS,vocals-20-SAR,-0.7914755950555413,pearson
6,interferer,APS,vocals-24-SAR,-0.8032153853923018,pearson
7,interferer,APS,vocals-25-SAR,-0.8387652933343227,pearson
8,interferer,APS,vocals-26-SIR,-0.723854750990093,pearson
9,interferer,APS,vocals-30-SIR,-0.9647238344709486,pearson
10,interferer,APS,vocals-41-SIR,-0.9407965049298257,pearson
11,interferer,APS,vocals-42-SAR,-0.24024611888503955,pearson
12,interferer,APS,vocals-45-SIR,-0.8810305608314221,pearson
13,interferer,APS,vocals-47-SAR,-0.6415729495431,pearson
14,interferer,APS,vocals-48-SAR,-0.8781579097326415,pearson
15,interferer,APS,vocals-49-SIR,-0.7244956456848164,pearson
16,interferer,IPS,vocals-10-SIR,0.8667522386450425,pearson
17,interferer,IPS,vocals-11-SAR,0.9243749904280263,pearson
18,interferer,IPS,vocals-12-SAR,0.9730762501999692,pearson
19,interferer,IPS,vocals-18-SIR,0.9249021894634242,pearson
20,interferer,IPS,vocals-19-SIR,0.9454626025062741,pearson
21,interferer,IPS,vocals-20-SAR,0.6056995194725312,pearson
22,interferer,IPS,vocals-24-SAR,0.9040181865244261,pearson
23,interferer,IPS,vocals-25-SAR,0.935755978165284,pearson
24,interferer,IPS,vocals-26-SIR,0.9360913257852864,pearson
25,interferer,IPS,vocals-30-SIR,0.6610701128707333,pearson
26,interferer,IPS,vocals-41-SIR,0.9245660172956848,pearson
27,interferer,IPS,vocals-42-SAR,0.9362030345509259,pearson
28,interferer,IPS,vocals-45-SIR,0.9232635355816899,pearson
29,interferer,IPS,vocals-47-SAR,0.8577020823853247,pearson
30,interferer,IPS,vocals-48-SAR,0.9448684784724167,pearson
31,interferer,IPS,vocals-49-SIR,0.9601104718267915,pearson
32,interferer,SAR,vocals-10-SIR,-0.7783684792232272,pearson
33,interferer,SAR,vocals-11-SAR,-0.907599164612395,pearson
34,interferer,SAR,vocals-12-SAR,-0.22134452657799494,pearson
35,interferer,SAR,vocals-18-SIR,-0.11052075973308545,pearson
36,interferer,SAR,vocals-19-SIR,-0.4317553327436849,pearson
37,interferer,SAR,vocals-20-SAR,-0.19679651516010396,pearson
38,interferer,SAR,vocals-24-SAR,-0.8285929992112889,pearson
39,interferer,SAR,vocals-25-SAR,-0.6036723364478849,pearson
40,interferer,SAR,vocals-26-SIR,-0.40756876635530076,pearson
41,interferer,SAR,vocals-30-SIR,0.6159952066708277,pearson
42,interferer,SAR,vocals-41-SIR,0.8528333679202171,pearson
43,interferer,SAR,vocals-42-SAR,0.681853960544675,pearson
44,interferer,SAR,vocals-45-SIR,-0.8348158358109999,pearson
45,interferer,SAR,vocals-47-SAR,-0.2263688963963725,pearson
46,interferer,SAR,vocals-48-SAR,-0.918342369453324,pearson
47,interferer,SAR,vocals-49-SIR,-0.5845636186542627,pearson
48,interferer,SIR,vocals-10-SIR,0.9778084146876803,pearson
49,interferer,SIR,vocals-11-SAR,0.9589706958000919,pearson
50,interferer,SIR,vocals-12-SAR,0.9767531505626803,pearson
51,interferer,SIR,vocals-18-SIR,0.8490684792189706,pearson
52,interferer,SIR,vocals-19-SIR,0.9557184895255243,pearson
53,interferer,SIR,vocals-20-SAR,0.9887821709158321,pearson
54,interferer,SIR,vocals-24-SAR,0.8289993422465067,pearson
55,interferer,SIR,vocals-25-SAR,0.9485284839140512,pearson
56,interferer,SIR,vocals-26-SIR,0.8564171322868539,pearson
57,interferer,SIR,vocals-30-SIR,0.9713740133601559,pearson
58,interferer,SIR,vocals-41-SIR,0.9570790798877769,pearson
59,interferer,SIR,vocals-42-SAR,0.9566764358241902,pearson
60,interferer,SIR,vocals-45-SIR,0.9304655690934613,pearson
61,interferer,SIR,vocals-47-SAR,0.9583570369523879,pearson
62,interferer,SIR,vocals-48-SAR,0.9034220902459017,pearson
63,interferer,SIR,vocals-49-SIR,0.9742779715202524,pearson
64,interferer,TPS,vocals-10-SIR,-0.9655553554101833,pearson
65,interferer,TPS,vocals-11-SAR,-0.8104109820862854,pearson
66,interferer,TPS,vocals-12-SAR,-0.6348123392459034,pearson
67,interferer,TPS,vocals-18-SIR,-0.7127741120157927,pearson
68,interferer,TPS,vocals-19-SIR,-0.647246632040818,pearson
69,interferer,TPS,vocals-20-SAR,-0.7894573457873711,pearson
70,interferer,TPS,vocals-24-SAR,-0.781646266816345,pearson
71,interferer,TPS,vocals-25-SAR,-0.9010514314486374,pearson
72,interferer,TPS,vocals-26-SIR,-0.9508695083741898,pearson
73,interferer,TPS,vocals-30-SIR,-0.2430111693414138,pearson
74,interferer,TPS,vocals-41-SIR,-0.7577733866794065,pearson
75,interferer,TPS,vocals-42-SAR,0.105680297876005,pearson
76,interferer,TPS,vocals-45-SIR,-0.8603596070748488,pearson
77,interferer,TPS,vocals-47-SAR,-0.19767821466441962,pearson
78,interferer,TPS,vocals-48-SAR,-0.982866471856596,pearson
79,interferer,TPS,vocals-49-SIR,-0.8532230615602743,pearson
80,quality,APS,vocals-10-SIR,0.8904839737655734,pearson
81,quality,APS,vocals-11-SAR,0.7857791968888049,pearson
82,quality,APS,vocals-12-SAR,0.6335932177576422,pearson
83,quality,APS,vocals-18-SIR,0.46129277747299136,pearson
84,quality,APS,vocals-19-SIR,0.9753467280778787,pearson
85,quality,APS,vocals-20-SAR,0.8972379065567078,pearson
86,quality,APS,vocals-24-SAR,0.9568381165239915,pearson
87,quality,APS,vocals-25-SAR,0.9068409392481304,pearson
88,quality,APS,vocals-26-SIR,0.9634530803569924,pearson
89,quality,APS,vocals-30-SIR,0.8303313827543028,pearson
90,quality,APS,vocals-41-SIR,0.9420965596424535,pearson
91,quality,APS,vocals-42-SAR,0.8968378069857459,pearson
92,quality,APS,vocals-45-SIR,0.9607939425171773,pearson
93,quality,APS,vocals-47-SAR,0.8678384522096803,pearson
94,quality,APS,vocals-48-SAR,0.9564635421389975,pearson
95,quality,APS,vocals-49-SIR,0.927379697225874,pearson
96,quality,IPS,vocals-10-SIR,-0.5998061442286856,pearson
97,quality,IPS,vocals-11-SAR,-0.9691667914378989,pearson
98,quality,IPS,vocals-12-SAR,-0.8388498962589461,pearson
99,quality,IPS,vocals-18-SIR,-0.7672260231508679,pearson
100,quality,IPS,vocals-19-SIR,-0.7379884108006965,pearson
101,quality,IPS,vocals-20-SAR,-0.7166217468274232,pearson
102,quality,IPS,vocals-24-SAR,-0.8433686812763304,pearson
103,quality,IPS,vocals-25-SAR,-0.9159917562146287,pearson
104,quality,IPS,vocals-26-SIR,-0.9461741504425392,pearson
105,quality,IPS,vocals-30-SIR,-0.6849637211188786,pearson
106,quality,IPS,vocals-41-SIR,-0.8599683698385607,pearson
107,quality,IPS,vocals-42-SAR,-0.006422647410120186,pearson
108,quality,IPS,vocals-45-SIR,-0.9834472370383754,pearson
109,quality,IPS,vocals-47-SAR,-0.7066175750112926,pearson
110,quality,IPS,vocals-48-SAR,-0.9975064812194329,pearson
111,quality,IPS,vocals-49-SIR,-0.9175493156323448,pearson
112,quality,SAR,vocals-10-SIR,0.7754197852990374,pearson
113,quality,SAR,vocals-11-SAR,0.7504722993840118,pearson
114,quality,SAR,vocals-12-SAR,0.724906808667271,pearson
115,quality,SAR,vocals-18-SIR,0.8669050574310223,pearson
116,quality,SAR,vocals-19-SIR,0.7664882401369176,pearson
117,quality,SAR,vocals-20-SAR,0.9235198556775087,pearson
118,quality,SAR,vocals-24-SAR,0.6743271376384368,pearson
119,quality,SAR,vocals-25-SAR,0.6179391225944405,pearson
120,quality,SAR,vocals-26-SIR,0.7731244012425232,pearson
121,quality,SAR,vocals-30-SIR,-0.2520235716935977,pearson
122,quality,SAR,vocals-41-SIR,-0.4678449060700994,pearson
123,quality,SAR,vocals-42-SAR,0.7699442985182555,pearson
124,quality,SAR,vocals-45-SIR,0.6544131903273784,pearson
125,quality,SAR,vocals-47-SAR,0.6489934854653855,pearson
126,quality,SAR,vocals-48-SAR,0.9740371851546479,pearson
127,quality,SAR,vocals-49-SIR,0.9018725380356051,pearson
128,quality,SIR,vocals-10-SIR,-0.9082314713383137,pearson
129,quality,SIR,vocals-11-SAR,-0.8147215594516763,pearson
130,quality,SIR,vocals-12-SAR,-0.8397223406604764,pearson
131,quality,SIR,vocals-18-SIR,-0.885779436785332,pearson
132,quality,SIR,vocals-19-SIR,-0.9609314462676072,pearson
133,quality,SIR,vocals-20-SAR,-0.5410051150738265,pearson
134,quality,SIR,vocals-24-SAR,-0.9335000072547618,pearson
135,quality,SIR,vocals-25-SAR,-0.8765785868270042,pearson
136,quality,SIR,vocals-26-SIR,-0.8505414023836159,pearson
137,quality,SIR,vocals-30-SIR,-0.9068545038461308,pearson
138,quality,SIR,vocals-41-SIR,-0.8735398016230964,pearson
139,quality,SIR,vocals-42-SAR,0.29087381102455023,pearson
140,quality,SIR,vocals-45-SIR,-0.8920650808655376,pearson
141,quality,SIR,vocals-47-SAR,-0.4924255560684686,pearson
142,quality,SIR,vocals-48-SAR,-0.8491225348254344,pearson
143,quality,SIR,vocals-49-SIR,-0.7147175750760681,pearson
144,quality,TPS,vocals-10-SIR,0.9408468529179242,pearson
145,quality,TPS,vocals-11-SAR,0.6967971041878342,pearson
146,quality,TPS,vocals-12-SAR,0.04988553066175557,pearson
147,quality,TPS,vocals-18-SIR,0.9058244934133336,pearson
148,quality,TPS,vocals-19-SIR,0.8577157258477339,pearson
149,quality,TPS,vocals-20-SAR,0.07951616442714535,pearson
150,quality,TPS,vocals-24-SAR,0.9229401413791639,pearson
151,quality,TPS,vocals-25-SAR,0.6849330098355451,pearson
152,quality,TPS,vocals-26-SIR,0.9616660285287623,pearson
153,quality,TPS,vocals-30-SIR,0.6442634139246307,pearson
154,quality,TPS,vocals-41-SIR,0.971486713234183,pearson
155,quality,TPS,vocals-42-SAR,0.9454333222272753,pearson
156,quality,TPS,vocals-45-SIR,0.9032334659398559,pearson
157,quality,TPS,vocals-47-SAR,0.7180753679994771,pearson
158,quality,TPS,vocals-48-SAR,0.9651818837363276,pearson
159,quality,TPS,vocals-49-SIR,0.9572664786843152,pearson
0,interferer,APS,vocals-10-SIR,-0.9999999999999999,spearman
1,interferer,APS,vocals-11-SAR,-0.8999999999999998,spearman
2,interferer,APS,vocals-12-SAR,-0.49999999999999994,spearman
3,interferer,APS,vocals-18-SIR,-0.7,spearman
4,interferer,APS,vocals-19-SIR,-0.7,spearman
5,interferer,APS,vocals-20-SAR,-0.8999999999999998,spearman
6,interferer,APS,vocals-24-SAR,-0.7999999999999999,spearman
7,interferer,APS,vocals-25-SAR,-0.6,spearman
8,interferer,APS,vocals-26-SIR,-0.6,spearman
9,interferer,APS,vocals-30-SIR,-0.8999999999999998,spearman
10,interferer,APS,vocals-41-SIR,-0.8999999999999998,spearman
11,interferer,APS,vocals-42-SAR,0.09999999999999999,spearman
12,interferer,APS,vocals-45-SIR,-0.6,spearman
13,interferer,APS,vocals-47-SAR,-0.8999999999999998,spearman
14,interferer,APS,vocals-48-SAR,-0.7999999999999999,spearman
15,interferer,APS,vocals-49-SIR,-0.6,spearman
16,interferer,IPS,vocals-10-SIR,0.7,spearman
17,interferer,IPS,vocals-11-SAR,0.6,spearman
18,interferer,IPS,vocals-12-SAR,0.9999999999999999,spearman
19,interferer,IPS,vocals-18-SIR,0.9999999999999999,spearman
20,interferer,IPS,vocals-19-SIR,0.9999999999999999,spearman
21,interferer,IPS,vocals-20-SAR,0.7,spearman
22,interferer,IPS,vocals-24-SAR,0.7,spearman
23,interferer,IPS,vocals-25-SAR,0.6,spearman
24,interferer,IPS,vocals-26-SIR,0.7,spearman
25,interferer,IPS,vocals-30-SIR,0.6,spearman
26,interferer,IPS,vocals-41-SIR,0.8999999999999998,spearman
27,interferer,IPS,vocals-42-SAR,0.7999999999999999,spearman
28,interferer,IPS,vocals-45-SIR,0.7999999999999999,spearman
29,interferer,IPS,vocals-47-SAR,0.7999999999999999,spearman
30,interferer,IPS,vocals-48-SAR,0.8999999999999998,spearman
31,interferer,IPS,vocals-49-SIR,0.9999999999999999,spearman
32,interferer,SAR,vocals-10-SIR,-0.3,spearman
33,interferer,SAR,vocals-11-SAR,-0.8999999999999998,spearman
34,interferer,SAR,vocals-12-SAR,-0.3,spearman
35,interferer,SAR,vocals-18-SIR,-0.3,spearman
36,interferer,SAR,vocals-19-SIR,-0.7,spearman
37,interferer,SAR,vocals-20-SAR,-0.39999999999999997,spearman
38,interferer,SAR,vocals-24-SAR,-0.8999999999999998,spearman
39,interferer,SAR,vocals-25-SAR,-0.6,spearman
40,interferer,SAR,vocals-26-SIR,-0.6,spearman
41,interferer,SAR,vocals-30-SIR,0.7,spearman
42,interferer,SAR,vocals-41-SIR,0.7999999999999999,spearman
43,interferer,SAR,vocals-42-SAR,0.7999999999999999,spearman
44,interferer,SAR,vocals-45-SIR,-0.8999999999999998,spearman
45,interferer,SAR,vocals-47-SAR,-0.09999999999999999,spearman
46,interferer,SAR,vocals-48-SAR,-0.8999999999999998,spearman
47,interferer,SAR,vocals-49-SIR,-0.6,spearman
48,interferer,SIR,vocals-10-SIR,0.9999999999999999,spearman
49,interferer,SIR,vocals-11-SAR,0.9999999999999999,spearman
50,interferer,SIR,vocals-12-SAR,0.9999999999999999,spearman
51,interferer,SIR,vocals-18-SIR,0.8999999999999998,spearman
52,interferer,SIR,vocals-19-SIR,0.8999999999999998,spearman
53,interferer,SIR,vocals-20-SAR,0.9999999999999999,spearman
54,interferer,SIR,vocals-24-SAR,0.8999999999999998,spearman
55,interferer,SIR,vocals-25-SAR,0.9999999999999999,spearman
56,interferer,SIR,vocals-26-SIR,0.7,spearman
57,interferer,SIR,vocals-30-SIR,0.8999999999999998,spearman
58,interferer,SIR,vocals-41-SIR,0.8999999999999998,spearman
59,interferer,SIR,vocals-42-SAR,0.9999999999999999,spearman
60,interferer,SIR,vocals-45-SIR,0.9999999999999999,spearman
61,interferer,SIR,vocals-47-SAR,0.9999999999999999,spearman
62,interferer,SIR,vocals-48-SAR,0.9999999999999999,spearman
63,interferer,SIR,vocals-49-SIR,0.8999999999999998,spearman
64,interferer,TPS,vocals-10-SIR,-0.9999999999999999,spearman
65,interferer,TPS,vocals-11-SAR,-0.9999999999999999,spearman
66,interferer,TPS,vocals-12-SAR,-0.8999999999999998,spearman
67,interferer,TPS,vocals-18-SIR,-0.7,spearman
68,interferer,TPS,vocals-19-SIR,-0.49999999999999994,spearman
69,interferer,TPS,vocals-20-SAR,-0.49999999999999994,spearman
70,interferer,TPS,vocals-24-SAR,-0.8999999999999998,spearman
71,interferer,TPS,vocals-25-SAR,-0.7,spearman
72,interferer,TPS,vocals-26-SIR,-0.7,spearman
73,interferer,TPS,vocals-30-SIR,0.3,spearman
74,interferer,TPS,vocals-41-SIR,-0.7,spearman
75,interferer,TPS,vocals-42-SAR,0.19999999999999998,spearman
76,interferer,TPS,vocals-45-SIR,-0.7,spearman
77,interferer,TPS,vocals-47-SAR,0.09999999999999999,spearman
78,interferer,TPS,vocals-48-SAR,-0.8999999999999998,spearman
79,interferer,TPS,vocals-49-SIR,-0.7,spearman
80,quality,APS,vocals-10-SIR,0.8999999999999998,spearman
81,quality,APS,vocals-11-SAR,0.8999999999999998,spearman
82,quality,APS,vocals-12-SAR,0.7999999999999999,spearman
83,quality,APS,vocals-18-SIR,0.8999999999999998,spearman
84,quality,APS,vocals-19-SIR,0.9999999999999999,spearman
85,quality,APS,vocals-20-SAR,0.8999999999999998,spearman
86,quality,APS,vocals-24-SAR,0.8999999999999998,spearman
87,quality,APS,vocals-25-SAR,0.7,spearman
88,quality,APS,vocals-26-SIR,0.9999999999999999,spearman
89,quality,APS,vocals-30-SIR,0.8999999999999998,spearman
90,quality,APS,vocals-41-SIR,0.7999999999999999,spearman
91,quality,APS,vocals-42-SAR,0.9999999999999999,spearman
92,quality,APS,vocals-45-SIR,0.9999999999999999,spearman
93,quality,APS,vocals-47-SAR,0.8999999999999998,spearman
94,quality,APS,vocals-48-SAR,0.8999999999999998,spearman
95,quality,APS,vocals-49-SIR,0.7,spearman
96,quality,IPS,vocals-10-SIR,-0.39999999999999997,spearman
97,quality,IPS,vocals-11-SAR,-0.8999999999999998,spearman
98,quality,IPS,vocals-12-SAR,-0.8999999999999998,spearman
99,quality,IPS,vocals-18-SIR,-0.39999999999999997,spearman
100,quality,IPS,vocals-19-SIR,-0.7,spearman
101,quality,IPS,vocals-20-SAR,-0.7,spearman
102,quality,IPS,vocals-24-SAR,-0.6,spearman
103,quality,IPS,vocals-25-SAR,-0.7,spearman
104,quality,IPS,vocals-26-SIR,-0.8999999999999998,spearman
105,quality,IPS,vocals-30-SIR,-0.8999999999999998,spearman
106,quality,IPS,vocals-41-SIR,-0.7999999999999999,spearman
107,quality,IPS,vocals-42-SAR,-0.09999999999999999,spearman
108,quality,IPS,vocals-45-SIR,-0.8999999999999998,spearman
109,quality,IPS,vocals-47-SAR,-0.49999999999999994,spearman
110,quality,IPS,vocals-48-SAR,-0.9999999999999999,spearman
111,quality,IPS,vocals-49-SIR,-0.6,spearman
112,quality,SAR,vocals-10-SIR,0.49999999999999994,spearman
113,quality,SAR,vocals-11-SAR,0.6,spearman
114,quality,SAR,vocals-12-SAR,0.6,spearman
115,quality,SAR,vocals-18-SIR,0.8999999999999998,spearman
116,quality,SAR,vocals-19-SIR,0.9999999999999999,spearman
117,quality,SAR,vocals-20-SAR,0.8999999999999998,spearman
118,quality,SAR,vocals-24-SAR,0.7999999999999999,spearman
119,quality,SAR,vocals-25-SAR,0.49999999999999994,spearman
120,quality,SAR,vocals-26-SIR,0.9999999999999999,spearman
121,quality,SAR,vocals-30-SIR,-0.19999999999999998,spearman
122,quality,SAR,vocals-41-SIR,-0.49999999999999994,spearman
123,quality,SAR,vocals-42-SAR,0.49999999999999994,spearman
124,quality,SAR,vocals-45-SIR,0.19999999999999998,spearman
125,quality,SAR,vocals-47-SAR,0.49999999999999994,spearman
126,quality,SAR,vocals-48-SAR,0.9999999999999999,spearman
127,quality,SAR,vocals-49-SIR,0.9999999999999999,spearman
128,quality,SIR,vocals-10-SIR,-0.8999999999999998,spearman
129,quality,SIR,vocals-11-SAR,-0.7,spearman
130,quality,SIR,vocals-12-SAR,-0.8999999999999998,spearman
131,quality,SIR,vocals-18-SIR,-0.7,spearman
132,quality,SIR,vocals-19-SIR,-0.8999999999999998,spearman
133,quality,SIR,vocals-20-SAR,-0.7,spearman
134,quality,SIR,vocals-24-SAR,-0.9999999999999999,spearman
135,quality,SIR,vocals-25-SAR,-0.8999999999999998,spearman
136,quality,SIR,vocals-26-SIR,-0.8999999999999998,spearman
137,quality,SIR,vocals-30-SIR,-0.8999999999999998,spearman
138,quality,SIR,vocals-41-SIR,-0.7,spearman
139,quality,SIR,vocals-42-SAR,0.09999999999999999,spearman
140,quality,SIR,vocals-45-SIR,-0.6,spearman
141,quality,SIR,vocals-47-SAR,-0.7,spearman
142,quality,SIR,vocals-48-SAR,-0.8999999999999998,spearman
143,quality,SIR,vocals-49-SIR,-0.49999999999999994,spearman
144,quality,TPS,vocals-10-SIR,0.8999999999999998,spearman
145,quality,TPS,vocals-11-SAR,0.7,spearman
146,quality,TPS,vocals-12-SAR,0.7,spearman
147,quality,TPS,vocals-18-SIR,0.49999999999999994,spearman
148,quality,TPS,vocals-19-SIR,0.8999999999999998,spearman
149,quality,TPS,vocals-20-SAR,0.09999999999999999,spearman
150,quality,TPS,vocals-24-SAR,0.9999999999999999,spearman
151,quality,TPS,vocals-25-SAR,0.49999999999999994,spearman
152,quality,TPS,vocals-26-SIR,0.8999999999999998,spearman
153,quality,TPS,vocals-30-SIR,0.0,spearman
154,quality,TPS,vocals-41-SIR,0.8999999999999998,spearman
155,quality,TPS,vocals-42-SAR,0.8999999999999998,spearman
156,quality,TPS,vocals-45-SIR,0.8999999999999998,spearman
157,quality,TPS,vocals-47-SAR,0.49999999999999994,spearman
158,quality,TPS,vocals-48-SAR,0.9999999999999999,spearman
159,quality,TPS,vocals-49-SIR,0.6,spearman
